CODICE_UNITA_UG;CODICE_FISCALE;RAGIONE_SOCIALE;DESC_FG;FG;CODICE_REG
699180;80000690356;COMUNE DI CAMPEGINE;Comune;2430;08
699301;80000870891;COMUNE DI FLORIDIA;Comune;2430;19
699399;80001010349;AZIENDA SOCIALE SUD-EST;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;08
699464;80001110487;ASP FIRENZE MONTEDOMINI;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;09
699655;80001370750;COMUNE DI SALICE SALENTINO;Comune;2430;16
699664;80001380775;COMUNE DI MONTESCAGLIOSO;Comune;2430;17
700764;80002760835;CITTA' METROPOLITANA DI MESSINA;Citta' metropolitana;2460;19
700930;80002950766;REGIONE BASILICATA;Regione;2410;17
701220;80003290626;COMUNE DI ARPAIA;Comune;2430;15
702014;80004120848;COMUNE DI FAVARA;Comune;2430;19
702574;80004770618;AMMINISTRAZIONE PROVINCIALE DI CASERTA;Provincia;2420;15
704380;80007010376;ALMA MATER STUDIORUM UNIVERSITA' DI BOLOGNA;Universita' pubblica;2620;08
704400;80007030705;COMUNE DI TORO;Comune;2430;14
704510;80007150404;COMUNE DI MELDOLA;Comune;2430;08
704514;80007150602;XII COMUNITA' MONTANA DEL LAZIO - MONTI ERNICI;Comunita' montana o isolana;2440;12
63084;00317720126;COMUNE DI VEDANO OLONA;Comune;2430;03
63178;00318100096;COMUNE DI VARAZZE;Comune;2430;07
63258;00318580651;COMUNE DI EBOLI;Comune;2430;15
63280;00318700549;COMUNE DI PIETRALUNGA;Comune;2430;10
64009;00322700121;COMUNE DI OLGIATE OLONA;Comune;2430;03
64045;00322890799;COMUNE DI RICADI;Comune;2430;18
64127;00323260190;COMUNE DI CAPRALBA;Comune;2430;03
64152;00323370791;COMUNE DI LIMBADI;Comune;2430;18
64159;00323400796;COMUNE DI ZACCANOPOLI;Comune;2430;18
64254;00323870196;COMUNE DI TORRICELLA DEL PIZZO;Comune;2430;03
64420;00324770189;COMUNE DI MORTARA;Comune;2430;03
64589;00325740199;COMUNE DI GABBIONETA-BINANUOVA;Comune;2430;03
64598;00325790194;COMUNE DI ROMANENGO;Comune;2430;03
64758;00326560091;COMUNE DI VENDONE;Comune;2430;07
64784;00326670791;COMUNE DI CESSANITI;Comune;2430;18
64811;00326840162;COMUNE DI ERVE;Comune;2430;03
64912;00327470795;COMUNE DI STEFANACONI;Comune;2430;18
65088;00328650098;COMUNE DI ALTARE;Comune;2430;07
11142005;82501960155;COMUNE DI CORNO GIOVINE;Comune;2430;03
11142025;83000050019;COMUNE DI BARBANIA;Comune;2430;01
11142052;83000250692;COMUNE DI CUPELLO;Comune;2430;13
11142075;83000390753;COMUNE DI MAGLIE;Comune;2430;16
11142079;83000430765;COMUNE DI NEMOLI;Comune;2430;17
11142191;83001010616;COMUNE DI ROCCAMONFINA;Comune;2430;15
11142973;84002090714;COMUNE DI SAN PAOLO DI CIVITATE;Comune;2430;16
11143706;86002120789;COMUNE DI SERRA D'AIELLO;Comune;2430;18
11303970;82005670409;COMUNE DI GEMMANO;Comune;2430;08
11317184;82500670011;COMUNE DI CAVAGNOLO;Comune;2430;01
11318933;00185910254;COMUNE DI DOMEGGE DI CADORE;Comune;2430;05
11318935;00184890259;COMUNE DI SANTO STEFANO DI CADORE;Comune;2430;05
11320609;82000930600;COMUNE DI SETTEFRATI;Comune;2430;12
25757;00163570542;COMUNE DI PERUGIA;Comune;2430;10
25917;00164110256;COMUNE DI SOSPIROLO;Comune;2430;05
26159;80004590677;COMUNE DI CROGNALETO;Comune;2430;13
26180;00164950701;COMUNITA' MONTANA DEL FORTORE MOLISANO - IN LIQUIDAZIONE;Comunita' montana o isolana;2440;14
26328;00165420506;COMUNE DI CASTELNUOVO DI VAL DI CECINA;Comune;2430;09
26341;00165480096;COMUNE DI TOIRANO;Comune;2430;07
26521;00166140707;COMUNE DI MATRICE;Comune;2430;14
26648;00166560540;COMUNE DI FOLIGNO;Comune;2430;10
26968;00167670033;COMUNE DI GHEMME;Comune;2430;01
27239;00168600427;COMUNE DI CAMERANO;Comune;2430;11
27249;00168650307;COMUNE DI UDINE;Comune;2430;06
27406;00169140704;COMUNE DI SAN FELICE DEL MOLISE;Comune;2430;14
27718;00170280705;COMUNE DI MONTEFALCONE NEL SANNIO;Comune;2430;14
27732;00170330880;COMUNE DI POZZALLO;Comune;2430;19
27752;00170370688;COMUNE DI BOLOGNANO;Comune;2430;13
28315;00172460701;COMUNE DI BARANELLO;Comune;2430;14
28339;00172550501;COMUNE DI CASTELFRANCO DI SOTTO;Comune;2430;09
28436;00172960429;COMUNE DI SASSOFERRATO;Comune;2430;11
704602;80007270186;UNIVERSITA' DEGLI STUDI DI PAVIA;Universita' pubblica;2620;03
704619;80007290101;COMUNE DI PROPATA;Comune;2430;07
704631;80007310107;COMUNE DI MONTOGGIO;Comune;2430;07
704632;80007310214;COMUNE DI LAION;Comune;2430;04
704713;80007400833;COMUNE DI ITALA;Comune;2430;19
704817;80007530266;COMUNE DI VILLORBA;Comune;2430;05
704977;80007730619;COMUNE DI ROCCA D'EVANDRO;Comune;2430;15
705134;80007930268;COMUNE DI MASERADA SUL PIAVE;Comune;2430;05
705196;80008030753;COMUNE DI ARADEO;Comune;2430;16
705276;80008130876;COMUNE DI CAMPOROTONDO ETNEO;Comune;2430;19
705550;80008550701;COMUNE DI ORATINO;Comune;2430;14
705707;80008770283;COMUNE DI AGNA;Comune;2430;05
705732;80008810287;COMUNE DI ARRE;Comune;2430;05
705857;80008970289;COMUNE DI CAMPOSAMPIERO;Comune;2430;05
705926;80009080138;COMUNE DI MOZZATE;Comune;2430;03
706252;80009590284;COMUNE DI MONTEGROTTO TERME;Comune;2430;05
65131;00328930169;COMUNE DI ARDESIO;Comune;2430;03
65361;00330380163;COMUNE DI RANICA;Comune;2430;03
65409;00330680463;COMUNE DI SAN ROMANO IN GARFAGNANA;Comune;2430;09
65463;00330930199;COMUNE DI CAPERGNANICA;Comune;2430;03
65465;00330940198;COMUNE DI CASALETTO CEREDANO;Comune;2430;03
65468;00330950197;COMUNE DI POZZAGLIO ED UNITI;Comune;2430;03
65644;00332120195;COMUNE DI CASALETTO VAPRIO;Comune;2430;03
65914;00333790236;COMUNE DI SAN MARTINO BUON ALBERGO;Comune;2430;05
65938;00334010279;COMUNE DI CONA;Comune;2430;05
65954;00334080165;COMUNE DI ALMENNO SAN BARTOLOMEO;Comune;2430;03
65995;00334340445;COMUNE DI CAMPOFILONE;Comune;2430;11
66019;00334500386;AMMINISTRAZIONE PROVINCIALE DI FERRARA;Provincia;2420;08
66059;00334690096;COMUNE DI CAIRO MONTENOTTE;Comune;2430;07
66114;00334990546;COMUNE DI GUBBIO;Comune;2430;10
66307;00336090246;COMUNE DI CHIUPPANO;Comune;2430;05
66322;00336160908;COMUNE DI LOIRI PORTO SAN PAOLO;Comune;2430;20
66366;00336470836;COMUNE DI MOTTA CAMASTRA;Comune;2430;19
66425;00336840160;COMUNE DI STEZZANO;Comune;2430;03
11320720;00189780661;COMUNE DI LUCO DEI MARSI;Comune;2430;13
11321261;81000330647;COMUNITA' MONTANA ZONA DELL'UFITA;Comunita' montana o isolana;2440;15
11321731;00108260076;COMUNE DI CHARVENSOD;Comune;2430;02
11330060;80003330059;COMUNE DI CISTERNA D'ASTI;Comune;2430;01
11339637;00270830227;COMUNE DI TRAMBILENO;Comune;2430;04
11553007;82003050216;COMUNE DI AVELENGO;Comune;2430;04
12467854;00149110223;COMUNE DI BESENELLO;Comune;2430;04
12501934;00218780393;COMUNE DI BAGNARA DI ROMAGNA;Comune;2430;08
12501967;00270850225;COMUNE DI NOGAREDO;Comune;2430;04
12502065;00449290212;COMUNE DI NATURNO;Comune;2430;04
12502166;00631310166;COMUNE DI SELVINO;Comune;2430;03
12503928;80001770629;COMUNE DI CASTELPAGANO;Comune;2430;15
12503953;80001990748;COMUNE DI SAN DONACI;Comune;2430;16
12504011;80002530782;COMUNE DI ROGLIANO;Comune;2430;18
28528;00173390667;COMUNE DI PRATOLA PELIGNA;Comune;2430;13
28595;00173630674;COMUNE DI TORTORETO;Comune;2430;13
28855;00174760199;COMUNE DI CHIEVE;Comune;2430;03
28960;00175270099;COMUNE DI SAVONA;Comune;2430;07
29178;00176320422;COMUNE DI BARBARA;Comune;2430;11
29295;00176800258;COMUNE DI SEDICO;Comune;2430;05
29306;00176820512;COMUNE DI AREZZO;Comune;2430;09
29411;92005940884;COMUNE DI MONTEROSSO ALMO;Comune;2430;19
29504;00177740214;COMUNE DI MOSO IN PASSIRIA;Comune;2430;04
29860;00179380555;COMUNE DI STRONCONE;Comune;2430;10
29922;00179660840;COMUNE DI CANICATTI';Comune;2430;19
29988;00180010332;COMUNE DI CASTELVETRO PIACENTINO;Comune;2430;08
30074;00180270886;COMUNE DI RAGUSA;Comune;2430;19
30559;00181820663;COMUNE DI SULMONA;Comune;2430;13
30776;00182490433;COMUNE DI CORRIDONIA;Comune;2430;11
30896;00182910034;COMUNE DI VERBANIA;Comune;2430;01
178013;00909790107;COMUNE DI FONTANIGORDA;Comune;2430;07
706310;80009690753;COMUNE DI SAN CESARIO DI LECCE;Comune;2430;16
709959;80018050171;COMUNE DI AZZANO MELLA;Comune;2430;03
713218;80050050154;REGIONE LOMBARDIA;Regione;2410;03
714736;80101570150;COMUNE DI PESCHIERA BORROMEO;Comune;2430;03
714792;80102330158;COMUNE DI ZIBIDO SAN GIACOMO;Comune;2430;03
714892;80104290152;COMUNE DI PIEVE EMANUELE;Comune;2430;03
714895;80104310158;COMUNE DI OPERA;Comune;2430;03
714916;80105450151;COMUNE DI CALVIGNASCO;Comune;2430;03
714965;80108750151;COMUNE DI PANTIGLIATE;Comune;2430;03
715014;80111810588;ISTITUTO NAZIONALE DI STATISTICA - ISTAT;Istituto o ente pubblico di ricerca;2711;12
715076;80118410580;LEGA ITALIANA PER LA LOTTA CONTRO I TUMORI;Altro ente pubblico non economico nazionale;2790;12
715206;80140110588;COMUNE DI MONTEROTONDO;Comune;2430;12
715679;80199310584;COMUNE DI SACROFANO;Comune;2430;12
716424;81000070847;COMUNE DI PALMA DI MONTECHIARO;Comune;2430;19
66615;00337920797;COMUNE DI CARFIZZI;Comune;2430;18
66657;00338220098;COMUNE DI CENGIO;Comune;2430;07
66709;00338460090;COMUNE DI TOVO SAN GIACOMO;Comune;2430;07
66742;00338730161;COMUNE DI FINO DEL MONTE;Comune;2430;03
66877;00339480386;COMUNE DI POGGIO RENATICO;Comune;2430;08
66946;00339900425;COMUNE DI SERRA DE' CONTI;Comune;2430;11
67046;00340520220;UNIVERSITA' DEGLI STUDI DI TRENTO;Universita' pubblica;2620;04
67121;00340950096;COMUNE DI ALBISOLA SUPERIORE;Comune;2430;07
67159;00341180354;COMUNE DI CORREGGIO;Comune;2430;08
67184;00341300127;COMUNE DI CUASSO AL MONTE;Comune;2430;03
67349;00342140167;COMUNE DI CORNALBA;Comune;2430;03
67490;00342890167;COMUNE DI CANONICA D'ADDA;Comune;2430;03
67506;00342960838;COMUNE DI NASO;Comune;2430;19
67550;00343220398;COMUNE DI FUSIGNANO;Comune;2430;08
67583;00343400834;COMUNE DI TORREGROTTA;Comune;2430;19
67859;00344900782;COMUNE DI SANTA SOFIA D'EPIRO;Comune;2430;18
68024;00345850234;COMUNE DI MINERBE;Comune;2430;05
68139;00346420508;COMUNE DI ORCIANO PISANO;Comune;2430;09
15888080;80007130349;CONSORZIO INTERCOMUNALE DEL BACINO IMBRIFERO MONTANO DI PARMA;Consorzio di diritto pubblico;2740;08
15891301;80012950343;CONSORZIO DEL BACINO IMBRIFERO MONTANO TORRENTE ENZA;Consorzio di diritto pubblico;2740;08
15907498;84000550305;CONSORZIO DEI COMUNI DEL B.I.M. DEL TAGLIAMENTO NELLE PROVINCE DI UDINE E PORDENONE;Consorzio di diritto pubblico;2740;06
185701;00945980175;COMUNE DI GUSSAGO;Comune;2430;03
187546;00955060108;COMUNE DI MONTEBRUNO;Comune;2430;07
187964;00956690176;COMUNE DI BRANDICO;Comune;2430;03
189637;00963460175;COMUNE DI INCUDINE;Comune;2430;03
190783;00968810374;COMUNE DI ARGELATO;Comune;2430;08
191049;00970030151;COMUNE DI SOMAGLIA;Comune;2430;03
191900;00973680150;COMUNE DI GESSATE;Comune;2430;03
192230;00975370487;COMUNE DI SCANDICCI;Comune;2430;09
192311;00975860172;COMUNE DI OSSIMO;Comune;2430;03
194912;00987710480;COMUNE DI CAPRAIA E LIMITE;Comune;2430;09
199671;01011320486;COMUNE DI PONTASSIEVE;Comune;2430;09
200029;01012960587;COMUNE DI CASTEL MADAMA;Comune;2430;12
200954;01017000488;COMUNE DI BORGO SAN LORENZO;Comune;2430;09
201903;01021480379;COMUNE DI CASTEL GUELFO DI BOLOGNA;Comune;2430;08
202469;01024090167;COMUNE DI CARVICO;Comune;2430;03
202724;01025300375;COMUNE DI LIZZANO IN BELVEDERE;Comune;2430;08
206072;01039930589;COMUNE DI CASTEL GANDOLFO;Comune;2430;12
206441;01041340371;COMUNE DI ZOLA PREDOSA;Comune;2430;08
716542;81000250605;COMUNE DI SANT'ANDREA DEL GARIGLIANO;Comune;2430;12
716601;81000350249;COMUNE DI CHIAMPO;Comune;2430;05
716615;81000370288;COMUNE DI CITTADELLA;Comune;2430;05
716667;81000450288;COMUNE DI GALLIERA VENETA;Comune;2430;05
716672;81000450643;COMUNE DI GROTTAMINARDA;Comune;2430;15
716684;81000470807;COMUNE DI BIVONGI;Comune;2430;18
716760;81000570754;COMUNE DI ALLISTE;Comune;2430;16
716798;81000630939;COMUNE DI CAVASSO NUOVO;Comune;2430;06
716844;81000690800;COMUNE DI CAMINI;Comune;2430;18
716943;81000850040;COMUNE DI RODELLO;Comune;2430;01
716964;81000870808;COMUNE DI PLACANICA;Comune;2430;18
717776;81002250694;COMUNE DI CIVITALUPARELLA;Comune;2430;13
719998;82000230878;COMUNE DI CALTAGIRONE;Comune;2430;19
721668;82003350244;UNIONE MONTANA DEL BASSANESE;Unione di comuni;2450;05
721994;82004410609;XV COMUNITA' MONTANA VALLE DEL LIRI;Comunita' montana o isolana;2440;12
721996;82004410708;COMUNE DI MAFALDA;Comune;2430;14
721998;82004420707;COMUNE DI SAN GIACOMO DEGLI SCHIAVONI;Comune;2430;14
722028;82004510416;COMUNE DI URBINO;Comune;2430;11
68187;00346710791;COMUNE DI FILANDARI;Comune;2430;18
68411;00347890832;COMUNE DI SANT'ALESSIO SICULO;Comune;2430;19
68444;00348070160;COMUNE DI CASTELLI CALEPIO;Comune;2430;03
69046;00351640172;COMUNE DI VILLA CARCINA;Comune;2430;03
69139;00352170831;COMUNE DI FIUMEDINISI;Comune;2430;19
69319;00353170509;COMUNE DI PONTEDERA;Comune;2430;09
69580;00354500233;COMUNE DI MOZZECANE;Comune;2430;05
69619;00354730392;COMUNE DI RAVENNA;Comune;2430;08
69818;00355870221;COMUNE DI TRENTO;Comune;2430;04
69825;00355900796;COMUNE DI AMARONI;Comune;2430;18
70051;00357080449;COMUNE DI MONTEMONACO;Comune;2430;11
70317;00358540441;COMUNE DI CASTIGNANO;Comune;2430;11
70418;00359110830;COMUNE DI OLIVERI;Comune;2430;19
70630;00360380414;COMUNE DI TAVULLIA;Comune;2430;11
70666;00360580419;COMUNE DI FRONTINO;Comune;2430;11
70921;00361970833;COMUNE DI FURCI SICULO;Comune;2430;19
70951;00362170714;COMUNE DI CERIGNOLA;Comune;2430;16
71180;00363500448;COMUNE DI APPIGNANO DEL TRONTO;Comune;2430;11
16126261;00197620461;COMUNE DI MONTECARLO;Comune;2430;09
17977853;02205340793;REGIONE CALABRIA;Regione;2410;18
699659;80001370891;COMUNE DI CASSARO;Comune;2430;19
699665;80001380866;COMUNE DI CATENANUOVA;Comune;2430;19
700316;80002230854;COMUNE DI SOMMATINO;Comune;2430;19
701101;80003170661;REGIONE ABRUZZO;Regione;2410;13
19616968;02035220819;COMUNE DI CAMPOBELLO DI MAZARA;Comune;2430;19
206529;01041620376;COMUNE DI CASTEL D'AIANO;Comune;2430;08
206641;01042180370;COMUNE DI BARICELLA;Comune;2430;08
206662;01042260370;COMUNE DI CASTEL DI CASIO;Comune;2430;08
206804;01042870376;COMUNE DI MINERBIO;Comune;2430;08
210504;01059460152;COMUNE DI PARABIAGO;Comune;2430;03
211973;01065340372;COMUNE DI CASTENASO;Comune;2430;08
212658;01068100153;COMUNE DI DAIRAGO;Comune;2430;03
215510;01082050152;COMUNE DI CASOREZZO;Comune;2430;03
215595;01082490150;COMUNE DI MAGENTA;Comune;2430;03
216363;01086310156;COMUNE DI CORMANO;Comune;2430;03
221681;84002950016;COMUNE DI CALUSO;Comune;2430;01
229249;01141070480;COMUNE DI GAMBASSI TERME;Comune;2430;09
233894;01161500481;COMUNE DI PALAZZUOLO SUL SENIO;Comune;2430;09
235027;01165490580;COMUNE DI MONTELANICO;Comune;2430;12
237380;01175480159;COMUNE DI SAN VITTORE OLONA;Comune;2430;03
243739;01204890634;COMUNE DI MARIGLIANO;Comune;2430;15
244372;01207810795;COMUNE DI DECOLLATURA;Comune;2430;18
249044;01226000634;COMUNE DI STRIANO;Comune;2430;15
722082;82004690606;XIV COMUNITA' MONTANA VALLE DI COMINO;Comunita' montana o isolana;2440;12
722083;82004690705;COMUNE DI CAMPOMARINO;Comune;2430;14
722152;82005010283;COMUNE DI SOLESINO;Comune;2430;05
722226;82005370216;COMUNE DI PRATO ALLO STELVIO;Comune;2430;04
722228;82005370414;COMUNE DI PIETRARUBBIA;Comune;2430;11
722332;82005950215;COMUNITA' COMPRENSORIALE VAL VENOSTA - BEZIRKSGEMEINSCHAFT VINSCHGAU;Comunita' montana o isolana;2440;04
722405;82006290603;COMUNE DI ROCCA D'ARCE;Comune;2430;12
722585;82007270273;COMUNE DI STRA;Comune;2430;05
723044;82500110158;COMUNE DI MACCASTORNA;Comune;2430;03
723085;82501690018;COMUNE DI BRANDIZZO;Comune;2430;01
723251;83000230207;COMUNE DI POMPONESCO;Comune;2430;03
723308;83000350062;COMUNE DI CARROSIO;Comune;2430;01
723334;83000390027;COMUNE DI MEZZANA MORTIGLIENGO;Comune;2430;01
723426;83000570180;COMUNE DI CASTELLO D'AGOGNA;Comune;2430;03
723465;83000650123;COMUNE DI BREBBIA;Comune;2430;03
723505;83000730297;CENTRO SERVIZI SOCIALI VILLA RESEMINI;Istituto pubblico di assistenza e beneficenza;2712;05
723527;83000770145;COMUNE DI TEGLIO;Comune;2430;03
71591;00366320067;COMUNE DI BOSCO MARENGO;Comune;2430;01
71615;00366480424;COMUNE DI POGGIO SAN MARCELLO;Comune;2430;11
71694;00366940799;COMUNE DI MARTIRANO;Comune;2430;18
71981;00368570271;COMUNE DI MIRA;Comune;2430;05
72018;00368800173;COMUNE DI GARDONE RIVIERA;Comune;2430;03
72301;00370530388;COMUNE DI LAGOSANTO;Comune;2430;08
72500;00371870221;COMUNE DI SOVER;Comune;2430;04
72598;00372410068;COMUNE DI VOLTAGGIO;Comune;2430;01
72600;00372420547;COMUNE DI CITTA' DI CASTELLO;Comune;2430;10
72614;00372530162;COMUNE DI CALCIO;Comune;2430;03
72963;00374450229;COMUNE DI CANAZEI;Comune;2430;04
73355;00376610929;COMUNE DI IGLESIAS;Comune;2430;20
73408;00376950440;COMUNE DI MONTEPRANDONE;Comune;2430;11
73662;00378460836;COMUNE DI MILITELLO ROSMARINO;Comune;2430;19
73708;00378700223;COMUNE DI MALE';Comune;2430;04
74067;00380940445;COMUNE DI MASSA FERMANA;Comune;2430;11
74290;00382110062;COMUNE DI TAGLIOLO MONFERRATO;Comune;2430;01
74408;00382800167;COMUNE DI ROTA D'IMAGNA;Comune;2430;03
19623524;02180620987;UNIONE DEI COMUNI LOMBARDA DELL'ALTA VALLE CAMONICA;Unione di comuni;2450;03
701118;80003190073;UNIONE DEI COMUNI VALDOSTANI GRAND COMBIN;Unione di comuni;2450;02
701144;80003210863;COMUNE DI BARRAFRANCA;Comune;2430;19
701423;80003510254;UNIONE MONTANA CADORE LONGARONESE ZOLDO;Unione di comuni;2450;05
701817;80003930940;COMUNE DI RIONERO SANNITICO;Comune;2430;14
702029;80004140622;COMUNE DI APICE;Comune;2430;15
702444;80004630614;COMUNE DI VALLE DI MADDALONI;Comune;2430;15
704086;03967670872;COMUNE DI SANTA MARIA DI LICODIA;Comune;2430;19
19685692;06532741003;I CASTELLI DELLA SAPIENZA IN SIGLA C.C.S;Consorzio di diritto pubblico;2740;12
704703;80007390612;COMUNE DI CASTEL VOLTURNO;Comune;2430;15
19709072;90014080601;UNIONE DI COMUNI CINQUECITTA';Unione di comuni;2450;12
19709076;90014090600;XVI COMUNITA' MONTANA MONTI AUSONI;Comunita' montana o isolana;2440;12
19711431;90026200940;UNIONE DEI COMUNI PENTRI;Unione di comuni;2450;14
19712220;90031580443;UNIONE COMUNI VALDASO;Unione di comuni;2450;11
19716125;91007540056;COMUNITA' COLLINARE VIGNE E VINI;Unione di comuni;2450;01
704734;80007430269;COMUNE DI ZENSON DI PIAVE;Comune;2430;05
255980;01252310485;COMUNE DI FIESOLE;Comune;2430;09
262756;01279680480;UNIVERSITA' DEGLI STUDI DI FIRENZE;Universita' pubblica;2620;09
266842;01295960387;AZIENDA USL DI FERRARA;Azienda o ente del servizio sanitario nazionale;2500;08
271574;01315140150;COMUNE DI SETTIMO MILANESE;Comune;2430;03
274873;01329130486;COMUNE DI BAGNO A RIPOLI;Comune;2430;09
276688;01336730153;COMUNE DI ARCONATE;Comune;2430;03
285866;01375760012;COMUNE DI BRUZOLO;Comune;2430;01
290066;01394550014;COMUNE DI LOCANA;Comune;2430;01
298073;01432050019;COMUNE DI CASTELLAMONTE;Comune;2430;01
306237;01472860012;COMUNE DI GRUGLIASCO;Comune;2430;01
317742;01522670031;AZIENDA SANITARIA LOCALE NO;Azienda o ente del servizio sanitario nazionale;2500;01
324322;01549700159;COMUNE DI SOLARO;Comune;2430;03
325656;01554810638;COMUNE DI SANT'ANTIMO;Comune;2430;15
342915;01626800609;COMUNE DI VALLEMAIO;Comune;2430;12
346450;01640560064;AZIENDA OSPEDALIERA SS. ANTONIO E BIAGIO E CESARE ARRIGO;Azienda o ente del servizio sanitario nazionale;2500;01
723605;83000910832;COMUNE DI CASTROREALE;Comune;2430;19
723630;83000970067;COMUNE DI GRONDONA;Comune;2430;01
723674;83001050752;COMUNE DI CARPIGNANO SALENTINO;Comune;2430;16
723698;83001090261;COMUNE DI NERVESA DELLA BATTAGLIA;Comune;2430;05
723714;83001130778;COMUNE DI ACCETTURA;Comune;2430;17
723748;83001210265;COMUNE DI PEDEROBBA;Comune;2430;05
728449;87000210788;COMUNE DI CARIATI;Comune;2430;18
736863;91002500337;AZIENDA USL PIACENZA;Azienda o ente del servizio sanitario nazionale;2500;08
736874;91002520293;CASA ALBERGO PER ANZIANI;Istituto pubblico di assistenza e beneficenza;2712;05
736999;91002750742;COMUNE DI TORRE SANTA SUSANNA;Comune;2430;16
3159;00054610704;ISTITUTO AUTONOMO PER LE CASE POPOLARI DELLA PROVINCIA DI CAMPOBASSO;Altro ente pubblico non economico locale;2791;14
739511;91009580589;COMUNITA' MONTANA III ZONA LAZIO MONTI DELLA TOLFA;Comunita' montana o isolana;2440;12
739586;91009920413;ENTE PARCO NATURALE SASSO SIMONE E SIMONCELLO;Ente parco;2751;11
741826;91507180155;PARCO REGIONALE ADDA NORD;Ente parco;2751;03
74558;00383480340;COMUNE DI TORRILE;Comune;2430;08
74648;00383940541;COMUNE DI TORGIANO;Comune;2430;10
74662;00384000543;COMUNE DI BETTONA;Comune;2430;10
74730;00384350427;COMUNE DI OSIMO;Comune;2430;11
74917;00385230545;COMUNE DI BASTIA UMBRA;Comune;2430;10
75422;00387830839;COMUNE DI LIPARI;Comune;2430;19
75659;00389190422;COMUNE DI MERGO;Comune;2430;11
75689;00389360207;COMUNE DI VILLIMPENTA;Comune;2430;03
75810;00390050839;COMUNE DI LETOJANNI;Comune;2430;19
75909;00390570182;COMUNE DI MIRADOLO TERME;Comune;2430;03
76253;00392460234;COMUNE DI ROVEREDO DI GUA';Comune;2430;05
76387;00393230206;COMUNE DI RIVAROLO MANTOVANO;Comune;2430;03
76570;00394310833;COMUNE DI ALI' TERME;Comune;2430;19
76659;00394850200;COMUNE DI CASTELBELFORTE;Comune;2430;03
76882;00396110835;COMUNE DI SPADAFORA;Comune;2430;19
77112;00397670068;COMUNE DI VILLALVERNIA;Comune;2430;01
77638;00400660445;COMUNE DI MONTEFORTINO;Comune;2430;11
78276;00404250243;COMUNE DI VALDAGNO;Comune;2430;05
19732388;92142960282;FEDERAZIONE DEI COMUNI DEL CAMPOSAMPIERESE;Unione di comuni;2450;05
19732827;92539460151;UNIONE DI COMUNI LOMBARDA OLTRE ADDA LODIGIANO;Unione di comuni;2450;03
19735744;93037900201;UNIONE DI COMUNI LOMBARDA FOEDUS;Unione di comuni;2450;03
19735903;93038720194;UNIONE MUNICIPIA;Unione di comuni;2450;03
19737228;93086420424;ASSEMBLEA DI AMBITO TERRITORIALE OTTIMALE N. 2 MARCHE CENTRO - ANCONA;Consorzio di diritto pubblico;2740;11
19741727;94039790038;UNIONE DI COMUNI NOVARESE 2000;Unione di comuni;2450;01
19751390;97167100821;CONSORZIO SVILUPPO E LEGALITA';Consorzio di diritto pubblico;2740;19
19752492;97220210583;ISTITUTO NAZIONALE DI ASTROFISICA - INAF;Istituto o ente pubblico di ricerca;2711;12
19753627;97231970589;CONSIGLIO PER LA RICERCA IN AGRICOLTURA E L'ANALISI DELL'ECONOMIA AGRARIA - CREA;Istituto o ente pubblico di ricerca;2711;12
20068198;01464570702;UNIONE DEI COMUNI DELLA VALLE DEL TAMMARO;Unione di comuni;2450;14
20093201;02224640603;UNIONE DEI COMUNI DEGLI ERNICI;Unione di comuni;2450;12
20105399;02568110544;UNIONE DEI COMUNI TERRE DELL'OLIO E DEL SAGRANTINO;Unione di comuni;2450;10
20116191;02876660040;UNIONE DI COMUNI COLLINE DI LANGA E DEL BAROLO;Unione di comuni;2450;01
20116695;02886900048;COMUNE DI IGLIANO;Comune;2430;01
22248575;04669050967;COMUNE DI BARANZATE;Comune;2430;03
41310;00223660127;COMUNE DI TRADATE;Comune;2430;03
347215;01644090134;PARCO DELLA PINETA DI APPIANO GENTILE E TRADATE;Ente parco;2751;03
350116;01655950010;COMUNE DI AVIGLIANA;Comune;2430;01
356309;01683580268;CASA DI RIPOSO VILLA BELVEDERE;Istituto pubblico di assistenza e beneficenza;2712;05
362578;01710650019;COMUNE DI VENARIA REALE;Comune;2430;01
366815;01731060156;COMUNE DI NOVA MILANESE;Comune;2430;03
368952;01741070013;COMUNE DI MONTALTO DORA;Comune;2430;01
376157;01777400019;COMUNE DI LEINI;Comune;2430;01
393919;01865850018;COMUNE DI VENAUS;Comune;2430;01
401685;01906810583;ENTE STRUMENTALE ALLA CROCE ROSSA ITALIANA IN LIQUIDAZIONE COATTA AMMINISTRATIVA;Altro ente pubblico non economico nazionale;2790;12
406291;01933140012;COMUNE DI MONTANARO;Comune;2430;01
415517;01987250782;AZIENDA OSPEDALIERA DI COSENZA;Azienda o ente del servizio sanitario nazionale;2500;18
425609;02044190615;"UNIVERSITA' DEGLI STUDI DELLA CAMPANIA "" LUIGI VANVITELLI""";Universita' pubblica;2620;15
432014;02078610587;COMUNE DI CAVE;Comune;2430;12
444153;02148450279;CENTRO SERVIZI ANZIANI DI CHIOGGIA F.F. CASSON;Istituto pubblico di assistenza e beneficenza;2712;05
448785;02175680483;AZIENDA OSPEDALIERO UNIVERSITARIA MEYER IRCCS;Azienda o ente del servizio sanitario nazionale;2500;09
449860;02182060158;COMUNE DI CARUGATE;Comune;2430;03
